url,title,ingredients,cooking_time,nutrition_facts,publish_date,scraped_date,category
https://www.allrecipes.com/recipe/26728/cheese-borek/,Cheese Borek,egg; lightly beaten; bunch fresh parsley; minced; cloves garlic; minced; ¾ teaspoon crushed red pepper; ounces smoked gouda cheese; shredded; ounces emmentaler cheese; finely shredded; sheets phyllo dough; ½ cups unsalted butter; melted,1 hr 30 min,Calories: 280; Fat: 1576g; Carb: 83g; Protein: 715g,18/2/2025,2025-03-22,world_cuisine
https://www.allrecipes.com/recipe/8536550/creamy-green-curry-chicken-ramen/,Creamy Green Curry Chicken Ramen,tablespoon vegetable oil; jalapeno pepper; seeded and minced; cloves garlic; minced; teaspoon grated fresh ginger; lime; zested; cups shredded deli rotisserie chicken; cans coconut milk; cups chicken stock; ¼ cup green curry paste; tablespoons soy sauce; tablespoon fish sauce; tablespoon brown sugar; ½ teaspoon dried basil; packages ramen noodles; packages snow peas; red bell pepper; chopped; ¼ cup chopped fresh cilantro,30 min,Calories: 916; Fat: 43213g; Carb: 6825g; Protein: 4487g,25/2/2023,2025-03-22,soup
https://www.allrecipes.com/recipe/255022/turkey-matzo-ball-soup/,Turkey Matzo Ball Soup,pounds roasted turkey bones and meat scraps; the fattier the better; large onion; chopped; ribs celery; chopped; quarts water or chicken broth; or more to cover bones; large eggs; beaten; tablespoons rendered melted turkey fat; teaspoon fine salt; ¼ teaspoon freshly ground black pepper; pinch cayenne pepper; tablespoons seltzer water or club soda; ½ cup matzo meal; tablespoons rendered melted turkey fat; cup diced onion; ½ cup diced carrot; ½ cup diced celery; clove garlic; thinly sliced; cups homemade rich turkey broth or chicken broth; salt and pepper to taste; tablespoon chopped fresh parsley; tablespoon chopped fresh dill,4 hr 5 min,Calories: 842; Fat: 1051g; Carb: 218g; Protein: 108215g,18/11/2024,2025-03-22,world_cuisine
https://www.allrecipes.com/recipe/244323/thanksgiving-turkey-congee/,Thanksgiving Turkey Congee,¼ cup dried scallops; dried black mushrooms; ½ cups uncooked short-grain white rice; ½  leftover turkey carcass; broken into pieces; cups water; bunch fresh cilantro; chopped; bunch green onions; chopped; ¼ cup thinly sliced fresh ginger; ¼ cup raw peanuts; tablespoons dried red onion; dashes sesame oil; ground white pepper to taste,2 hr 30 min,Calories: 201; Fat: 14g; Carb: 3513g; Protein: 612g,18/11/2024,2025-03-22,world_cuisine
https://www.allrecipes.com/recipe/220416/chef-johns-homemade-chicken-noodle-soup/,Chef John's Homemade Chicken Noodle Soup,tablespoon butter; ½ cup diced carrot; ½ cup diced onion; ½ cup diced celery; ¼ teaspoon fresh thyme leaves; pinch salt; tablespoons melted chicken fat; quarts roasted chicken broth; ounces uncooked wide egg noodles; cooked boneless chicken breast halves; cubed; pinch cayenne pepper; salt and ground black pepper to taste,40 min,Calories: 149; Fat: 211g; Carb: 124g; Protein: 1019g,22/11/2024,2025-03-22,soup
https://www.allrecipes.com/recipe/280980/chinese-hand-pulled-noodles-in-beef-broth/,Chinese Hand-Pulled Noodles in Beef Broth,gallon water; pounds boneless beef shoulder; cubed; ¼ cup sliced fresh ginger; tablespoons szechuan peppercorns; dried tsaoko; pieces dried mandarin orange peel; bay leaves; tablespoons salt; or to taste; cups all-purpose flour or bread flour; ½ cups water; ¼ cup vegetable oil; pound daikon; peeled and sliced; stalks green garlic; chopped; bunch fresh cilantro; chopped; drops chili oil; or to taste,3 hr 55 min,Calories: 671; Fat: 420g; Carb: 10137g; Protein: 2958g,16/2/2025,2025-03-22,soup
https://www.allrecipes.com/recipe/17110/omas-fabulous-matzo-ball-soup/,Oma's Fabulous Matzo Ball Soup,packages matzo crackers; ½ cup oil or butter; large eggs; or more if needed; beaten; onions; minced; tablespoons minced fresh parsley; salt and ground black pepper to taste; ounces matzo meal; cartons chicken broth,55 min,Calories: 448; Fat: 736g; Carb: 6423g; Protein: 1734g,17/11/2024,2025-03-22,soup
https://www.allrecipes.com/recipe/240476/turkey-tom-kha-gai/,Turkey Tom Kha Gai,cups turkey broth; stalks lemongrass; bruised and sliced; piece fresh ginger; sliced; tablespoons chopped fresh cilantro stems; makrut lime leaves; thinly sliced; ½ teaspoon red pepper flakes; or more to taste; pound cooked turkey; cut into small cubes; cup clamshell mushrooms; separated; tablespoons fish sauce; teaspoons palm sugar; can coconut milk; ¼ cup lime juice; ¼ cup green onions; chopped; tablespoons chopped fresh cilantro leaves; ¼ teaspoon chili oil; or more to taste,55 min,Calories: 441; Fat: 1997g; Carb: 135g; Protein: 3977g,20/11/2024,2025-03-22,world_cuisine
https://www.allrecipes.com/recipe/13218/absolutely-ultimate-potato-soup/,Absolutely Ultimate Potato Soup,pound bacon; chopped; stalks celery; diced; onion; chopped; cloves garlic; minced; potatoes; peeled and cubed; cups chicken stock; or enough to cover potatoes; tablespoons butter; ¼ cup all-purpose flour; cup heavy cream; teaspoon dried tarragon; teaspoons chopped fresh cilantro; salt and freshly ground black pepper to taste,45 min,Calories: 594; Fat: 1892g; Carb: 4416g; Protein: 1325g,13/11/2024,2025-03-22,soup
https://www.allrecipes.com/recipe/13287/creamy-italian-white-bean-soup/,Creamy Italian White Bean Soup,tablespoon vegetable oil; onion; chopped; rib celery; chopped; clove garlic; minced; cans white cannellini beans; rinsed and drained; can chicken broth; ¼ teaspoon ground black pepper; ⅛ teaspoon dried thyme; cups water; bunch fresh spinach; rinsed and thinly sliced; tablespoon lemon juice,50 min,Calories: 245; Fat: 13g; Carb: 3814g; Protein: 1224g,4/3/2025,2025-03-22,soup
